keyword	Tf	Idf	Tf*Idf	sqrt(Tf)*Idf
engineer	7.0	5.61747684985	39.322337949	14.8624467404
bugs	4.0	8.54504909065	34.1801963626	17.0900981813
cool stuff	2.0	11.7153038146	23.4306076292	16.5679415419
billion	3.0	7.76486375532	23.294591266	13.4491385381
initialstate	2.0	9.90798874281	19.8159774856	14.0120120559
big deal	2.0	9.87647528157	19.7529505631	13.9674452916
awesome place	1.0	14.0580185347	14.0580185347	14.0580185347
fix	2.0	6.77814481345	13.5562896269	9.58574432291
product defects	1.0	13.3861636359	13.3861636359	13.3861636359
lot	2.0	6.38976288011	12.7795257602	9.03648932539
nice	1.0	12.7442860816	12.7442860816	12.7442860816
code	2.0	6.17067494843	12.3413498969	8.72665220107
world hunger	1.0	12.1689534406	12.1689534406	12.1689534406
lines	2.0	6.01719549926	12.0343909985	8.50959948251
application programming interface	1.0	11.8002380014	11.8002380014	11.8002380014
microsoft visual studio	1.0	11.4277642319	11.4277642319	11.4277642319
regular expression	1.0	10.9627687927	10.9627687927	10.9627687927
bunch	1.0	9.73165487055	9.73165487055	9.73165487055
impossible	1.0	9.56882211021	9.56882211021	9.56882211021
debugging	1.0	9.28334431233	9.28334431233	9.28334431233
schedule slips	1.0	9.27003212335	9.27003212335	9.27003212335
year products	1.0	8.98352048494	8.98352048494	8.98352048494
multiple hours	1.0	8.96923109627	8.96923109627	8.96923109627
lawn	1.0	8.63132423163	8.63132423163	8.63132423163
smarter	1.0	8.61924898909	8.61924898909	8.61924898909
ios	1.0	8.50323959717	8.50323959717	8.50323959717
https	1.0	8.20062574366	8.20062574366	8.20062574366
prototype	1.0	8.15990196897	8.15990196897	8.15990196897
weekends	1.0	8.08795283305	8.08795283305	8.08795283305
pair	1.0	7.78018669455	7.78018669455	7.78018669455
faster	1.0	7.65935401727	7.65935401727	7.65935401727
freedom	1.0	7.65848882135	7.65848882135	7.65848882135
calculator	1.0	7.49315502504	7.49315502504	7.49315502504
chance	1.0	7.4785406635	7.4785406635	7.4785406635
context	1.0	7.19485344611	7.19485344611	7.19485344611
happen	1.0	7.04613918758	7.04613918758	7.04613918758
schedules	1.0	6.87933631696	6.87933631696	6.87933631696
forcing	1.0	6.83682788602	6.83682788602	6.83682788602
add	1.0	6.72368622921	6.72368622921	6.72368622921
programming	1.0	5.37838046325	5.37838046325	5.37838046325
business	1.0	4.54174072998	4.54174072998	4.54174072998
