keyword	Tf	Idf	Tf*Idf	sqrt(Tf)*Idf
linkedin	6.0	7.34158024059	44.0494814435	17.9831254951
search	7.0	5.80251273904	40.6175891733	15.3520056868
query understanding	2.0	14.4406205045	28.881241009	20.4221213665
reformulations	2.0	12.0748867885	24.149773577	17.0764686604
query	3.0	7.59715286898	22.7914586069	13.1586547619
label	3.0	7.59471799515	22.7841539855	13.1544374368
xn	2.0	11.1463960013	22.2927920026	15.7633843966
information retrieval	2.0	10.4526711008	20.9053422016	14.7823092338
search log data	2.0	10.0552663013	20.1105326026	14.2202939766
linkedincom http	2.0	9.3129061211	18.6258122422	13.1704381416
daniel tunkelang	2.0	9.19033129696	18.3806625939	12.9970911629
biases	2.0	9.04425854161	18.0885170832	12.7905130912
google	3.0	6.02001324051	18.0600397215	10.4269687948
computer science	2.0	8.69927172484	17.3985434497	12.302628056
detecting interactions	1.0	15.1056672818	15.1056672818	15.1056672818
kevin scott	1.0	14.7072544199	14.7072544199	14.7072544199
click behavior	1.0	14.5660088524	14.5660088524	14.5660088524
query features	1.0	14.4928310965	14.4928310965	14.4928310965
factors matter	1.0	14.3602320496	14.3602320496	14.3602320496
higher ctr	1.0	14.006567969	14.006567969	14.006567969
scoring results	1.0	13.9701518237	13.9701518237	13.9701518237
engineering pune	1.0	13.7948928386	13.7948928386	13.7948928386
document relevant	1.0	13.6777013267	13.6777013267	13.6777013267
query expansion	1.0	13.5714164446	13.5714164446	13.5714164446
ms degrees	1.0	13.4855944728	13.4855944728	13.4855944728
search logs	1.0	13.3577222693	13.3577222693	13.3577222693
search relevance	1.0	13.3010206671	13.3010206671	13.3010206671
content ecosystem	1.0	13.2513251686	13.2513251686	13.2513251686
key contributions	1.0	13.2468282634	13.2468282634	13.2468282634
linkedin search	1.0	13.237487995	13.237487995	13.237487995
marissa mayer	1.0	13.2344325761	13.2344325761	13.2344325761
bs degree	1.0	12.9821287107	12.9821287107	12.9821287107
relevant results	1.0	12.6959872276	12.6959872276	12.6959872276
search clicks	1.0	12.5874666104	12.5874666104	12.5874666104
endeca	1.0	12.5720565701	12.5720565701	12.5720565701
professional content	1.0	12.3514037429	12.3514037429	12.3514037429
professional identity	1.0	12.3087091407	12.3087091407	12.3087091407
identifying person	1.0	12.2454430443	12.2454430443	12.2454430443
diverse set	1.0	12.1796585607	12.1796585607	12.1796585607
document	2.0	6.02264048816	12.0452809763	8.51729985965
web search engine	1.0	11.9717666725	11.9717666725	11.9717666725
search experience	1.0	11.8429700147	11.8429700147	11.8429700147
logistic regression	1.0	11.8171605092	11.8171605092	11.8171605092
publishing platform	1.0	11.6829193516	11.6829193516	11.6829193516
regression model	1.0	11.6036481631	11.6036481631	11.6036481631
oracle dba	1.0	11.578383529	11.578383529	11.578383529
unique challenges	1.0	11.4917878775	11.4917878775	11.4917878775
joachims	1.0	11.3986808879	11.3986808879	11.3986808879
cmu	1.0	11.2411497409	11.2411497409	11.2411497409
htmllinkedin	1.0	11.1248751566	11.1248751566	11.1248751566
found information retrieval	1.0	11.1248751566	11.1248751566	11.1248751566
thirds	1.0	11.1097758292	11.1097758292	11.1097758292
social content	1.0	11.0250340889	11.0250340889	11.0250340889
ingeniero electrico	1.0	10.9897200949	10.9897200949	10.9897200949
shakti sinha heads	1.0	10.9897200949	10.9897200949	10.9897200949
rich content ecosystem	1.0	10.9897200949	10.9897200949	10.9897200949
valuable entities	1.0	10.8938260964	10.8938260964	10.8938260964
searcher	1.0	10.8919962302	10.8919962302	10.8919962302
search relevance team	1.0	10.8545650332	10.8545650332	10.8545650332
semistructured content	1.0	10.5883958524	10.5883958524	10.5883958524
find	2.0	5.27675898445	10.5535179689	7.46246412118
podemsky	1.0	10.4762382864	10.4762382864	10.4762382864
people companies jobs	1.0	10.2451892262	10.2451892262	10.2451892262
information retrieval hcir	1.0	10.1708080424	10.1708080424	10.1708080424
deep role	1.0	10.1614178014	10.1614178014	10.1614178014
personalized search experience	1.0	10.0983365707	10.0983365707	10.0983365707
exploratory information	1.0	9.99114267038	9.99114267038	9.99114267038
integral part	1.0	9.86458420947	9.86458420947	9.86458420947
humancomputer interaction	1.0	9.82930673179	9.82930673179	9.82930673179
unique data collection	1.0	9.73213239759	9.73213239759	9.73213239759
query tags	1.0	9.68129614571	9.68129614571	9.68129614571
corpus	1.0	9.64913392015	9.64913392015	9.64913392015
takeaways	1.0	9.63437294552	9.63437294552	9.63437294552
search quality team	1.0	9.56416372189	9.56416372189	9.56416372189
nonmatches	1.0	9.53606148128	9.53606148128	9.53606148128
skips	1.0	9.28353354102	9.28353354102	9.28353354102
founding employee	1.0	9.2445335415	9.2445335415	9.2445335415
data collection	1.0	8.93502044015	8.93502044015	8.93502044015
stanford	1.0	8.89148905785	8.89148905785	8.89148905785
software engineer	1.0	8.86389817755	8.86389817755	8.86389817755
random person	1.0	8.71131336085	8.71131336085	8.71131336085
textbook	1.0	8.68117031266	8.68117031266	8.68117031266
triple	1.0	8.56951780396	8.56951780396	8.56951780396
advocate	1.0	8.50802160613	8.50802160613	8.50802160613
human judgments	1.0	8.49565822221	8.49565822221	8.49565822221
document features	1.0	8.36863080228	8.36863080228	8.36863080228
entity	1.0	8.2608983853	8.2608983853	8.2608983853
mention	1.0	8.22365263054	8.22365263054	8.22365263054
phd	1.0	7.89601185983	7.89601185983	7.89601185983
attorney	1.0	7.81619531882	7.81619531882	7.81619531882
lawyer	1.0	7.70457474675	7.70457474675	7.70457474675
daniel	1.0	7.6883686996	7.6883686996	7.6883686996
oracle	1.0	7.57846828595	7.57846828595	7.57846828595
navigational	1.0	7.50737739281	7.50737739281	7.50737739281
scores	1.0	7.46952572931	7.46952572931	7.46952572931
segment	1.0	7.45714711746	7.45714711746	7.45714711746
mit	1.0	7.40945862207	7.40945862207	7.40945862207
leveraging	1.0	7.28843196535	7.28843196535	7.28843196535
relevance	1.0	7.27020575508	7.27020575508	7.27020575508
contributions	1.0	7.19486788181	7.19486788181	7.19486788181
efforts	1.0	7.12074139007	7.12074139007	7.12074139007
index	1.0	6.89529207336	6.89529207336	6.89529207336
bit	1.0	6.88015272812	6.88015272812	6.88015272812
hiring	1.0	6.81490972522	6.81490972522	6.81490972522
unique	1.0	6.65943307206	6.65943307206	6.65943307206
clicked	1.0	6.65217637954	6.65217637954	6.65217637954
members	1.0	6.6454547363	6.6454547363	6.6454547363
deliver	1.0	6.54404970654	6.54404970654	6.54404970654
record	1.0	6.48098083415	6.48098083415	6.48098083415
college	1.0	6.45968528442	6.45968528442	6.45968528442
twitter	1.0	6.35282540376	6.35282540376	6.35282540376
profile	1.0	6.33988548697	6.33988548697	6.33988548697
large	1.0	6.13326901904	6.13326901904	6.13326901904
talk	1.0	6.04116038329	6.04116038329	6.04116038329
location	1.0	6.02041361837	6.02041361837	6.02041361837
social media	1.0	5.71520010902	5.71520010902	5.71520010902
understanding query intent	1.0	5.42728251661	5.42728251661	5.42728251661
linkedin search platform	1.0	5.42728251661	5.42728251661	5.42728251661
corpus consists	1.0	5.42728251661	5.42728251661	5.42728251661
linkedins search products	1.0	5.42728251661	5.42728251661	5.42728251661
linkedins product data science team	1.0	5.25700733433	5.25700733433	5.25700733433
daniel tunkelang leads	1.0	5.1962333795	5.1962333795	5.1962333795
local search quality team	1.0	5.14484976828	5.14484976828	5.14484976828
