keyword	Tf	Idf	Tf*Idf	sqrt(Tf)*Idf
lock screen	3.0	12.7843322125	38.3529966374	22.1431129328
siri	3.0	10.6456020311	31.9368060934	18.4387235951
ios 8	2.0	13.4887764773	26.9775529545	19.076010634
hidden features	2.0	13.3388323597	26.6776647194	18.8639576293
ios	3.0	8.50323959717	25.5097187915	14.7280430112
app	3.0	6.23002195487	18.6900658646	10.7907145581
app store	2.0	9.31353507962	18.6270701592	13.1713276232
images	3.0	6.09804127042	18.2941238113	10.562117307
safari	2.0	8.99550267262	17.9910053452	12.72156188
month apple	1.0	14.8731710878	14.8731710878	14.8731710878
iphone	2.0	7.39091325895	14.7818265179	10.4523297691
battery usage	1.0	13.7728733548	13.7728733548	13.7728733548
tech revolution	1.0	13.6020443437	13.6020443437	13.6020443437
photos features	1.0	13.2620077224	13.2620077224	13.2620077224
photos app	1.0	12.9103503162	12.9103503162	12.9103503162
credit card numbers	1.0	11.7911239771	11.7911239771	11.7911239771
ios device	1.0	11.6440035318	11.6440035318	11.6440035318
wifi network	1.0	11.596290982	11.596290982	11.596290982
online payment information	1.0	10.5276218976	10.5276218976	10.5276218976
virtual assistant	1.0	10.3677011658	10.3677011658	10.3677011658
feature composes	1.0	9.93036781812	9.93036781812	9.93036781812
starbucks	1.0	9.51717219705	9.51717219705	9.51717219705
timer	1.0	9.45599343889	9.45599343889	9.45599343889
smarter	1.0	8.61924898909	8.61924898909	8.61924898909
great features	1.0	8.40872367808	8.40872367808	8.40872367808
years sections	1.0	8.32418740833	8.32418740833	8.32418740833
wi-fi	1.0	8.22476741979	8.22476741979	8.22476741979
bottom	1.0	7.7647667495	7.7647667495	7.7647667495
ipad	1.0	7.69400084811	7.69400084811	7.69400084811
moments	1.0	7.5412315202	7.5412315202	7.5412315202
similar	1.0	7.35290721454	7.35290721454	7.35290721454
apple	1.0	7.19432902528	7.19432902528	7.19432902528
display	1.0	6.88378653747	6.88378653747	6.88378653747
camera	1.0	6.84105819077	6.84105819077	6.84105819077
messages	1.0	6.78169510771	6.78169510771	6.78169510771
minutes	1.0	6.70300409742	6.70300409742	6.70300409742
picture	1.0	6.63587414643	6.63587414643	6.63587414643
texts	1.0	6.44736441249	6.44736441249	6.44736441249
collections	1.0	6.12543196559	6.12543196559	6.12543196559
wwdc earlier	1.0	5.56243757829	5.56243757829	5.56243757829
generic access network	1.0	-1.0	-1.0	-1.0
