keyword	Tf	Idf	Tf*Idf	sqrt(Tf)*Idf
tina monod	6.0	15.5887001385	93.532200831	38.1843610926
artist tina monod	4.0	10.8545650332	43.4182601329	21.7091300664
artful ingenuity	4.0	10.5721322849	42.2885291396	21.1442645698
florence	4.0	9.28500643024	37.140025721	18.5700128605
firenze	3.0	10.6940132831	32.0820398493	18.5225743431
italy	4.0	7.53177899556	30.1271159823	15.0635579911
painting	4.0	7.21299245596	28.8519698238	14.4259849119
sketch	3.0	8.82067564274	26.4620269282	15.2778583703
artful ingenuity art	2.0	10.8545650332	21.7091300664	15.3506730836
lemon	2.0	9.47264339014	18.9452867803	13.3963407539
curiosita	1.0	15.0430877148	15.0430877148	15.0430877148
sensazione	1.0	14.1407638697	14.1407638697	14.1407638697
lush garden	1.0	13.7661450916	13.7661450916	13.7661450916
connessione	1.0	12.9948112455	12.9948112455	12.9948112455
wonderful place	1.0	11.9464207942	11.9464207942	11.9464207942
art	2.0	5.75785603873	11.5157120775	8.14283810016
art prints	1.0	11.3394111744	11.3394111744	11.3394111744
tuscany	1.0	10.7337511075	10.7337511075	10.7337511075
victoria painting	1.0	10.5566257412	10.5566257412	10.5566257412
visual arts	1.0	10.5050183922	10.5050183922	10.5050183922
crated	1.0	10.2988954778	10.2988954778	10.2988954778
tina	1.0	10.0619882702	10.0619882702	10.0619882702
medici palace	1.0	10.0519165483	10.0519165483	10.0519165483
boboli gardens	1.0	9.94942082786	9.94942082786	9.94942082786
honours	1.0	9.85057611793	9.85057611793	9.85057611793
midnight sky	1.0	9.8414905201	9.8414905201	9.8414905201
smell	1.0	9.26535621558	9.26535621558	9.26535621558
vibrant	1.0	8.98494864783	8.98494864783	8.98494864783
antiquity	1.0	8.80522804696	8.80522804696	8.80522804696
viewer	1.0	8.67070563699	8.67070563699	8.67070563699
victoria	1.0	8.40602331961	8.40602331961	8.40602331961
passion	1.0	7.78846026419	7.78846026419	7.78846026419
centuries	1.0	7.25043475337	7.25043475337	7.25043475337
gardens	1.0	6.9459660486	6.9459660486	6.9459660486
healthy	1.0	6.92690469195	6.92690469195	6.92690469195
heart	1.0	6.87501677554	6.87501677554	6.87501677554
light	1.0	6.20946706112	6.20946706112	6.20946706112
air	1.0	6.20420330376	6.20420330376	6.20420330376
florence italy giardino boboli	1.0	5.56243757829	5.56243757829	5.56243757829
